job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1)Jobs: 1 (f=1)Jobs: 1 (f=1): [W(1)][0.1%][w=201MiB/s][w=1604 IOPS][eta 01h:05m:26s]
Jobs: 1 (f=1): [W(1)][0.1%][w=362MiB/s][w=2892 IOPS][eta 58m:45s]Jobs: 1 (f=1): [W(1)][0.2%][w=433MiB/s][w=3465 IOPS][eta 52m:46s] 
Jobs: 1 (f=1): [W(1)][0.2%][w=438MiB/s][w=3503 IOPS][eta 49m:18s]Jobs: 1 (f=1): [W(1)][0.3%][w=408MiB/s][w=3266 IOPS][eta 47m:39s] 
Jobs: 1 (f=1): [W(1)][0.3%][w=206MiB/s][w=1650 IOPS][eta 50m:07s]Jobs: 1 (f=1): [W(1)][0.3%][w=198MiB/s][w=1583 IOPS][eta 52m:22s] 
Jobs: 1 (f=1): [W(1)][0.3%][w=294MiB/s][w=2351 IOPS][eta 52m:38s]Jobs: 1 (f=1): [W(1)][0.4%][w=201MiB/s][w=1605 IOPS][eta 54m:21s] 
Jobs: 1 (f=1): [W(1)][0.4%][w=198MiB/s][w=1586 IOPS][eta 55m:54s]Jobs: 1 (f=1): [W(1)][0.4%][w=296MiB/s][w=2364 IOPS][eta 55m:48s] 
Jobs: 1 (f=1): [W(1)][0.4%][w=201MiB/s][w=1608 IOPS][eta 57m:03s]Jobs: 1 (f=1): [W(1)][0.5%][w=198MiB/s][w=1581 IOPS][eta 58m:13s] 
Jobs: 1 (f=1): [W(1)][0.5%][w=285MiB/s][w=2281 IOPS][eta 58m:07s]Jobs: 1 (f=1): [W(1)][0.5%][w=202MiB/s][w=1612 IOPS][eta 59m:04s] 
Jobs: 1 (f=1): [W(1)][0.5%][w=199MiB/s][w=1595 IOPS][eta 59m:58s]Jobs: 1 (f=1): [W(1)][0.5%][w=291MiB/s][w=2330 IOPS][eta 59m:43s] 
Jobs: 1 (f=1): [W(1)][0.5%][w=200MiB/s][w=1599 IOPS][eta 01h:00m:30s]Jobs: 1 (f=1): [W(1)][0.6%][w=215MiB/s][w=1721 IOPS][eta 01h:01m:03s] 
Jobs: 1 (f=1): [W(1)][0.6%][w=278MiB/s][w=2223 IOPS][eta 01h:00m:54s]Jobs: 1 (f=1): [W(1)][0.6%][w=200MiB/s][w=1602 IOPS][eta 01h:01m:33s] 
