job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1)Jobs: 1 (f=1)Jobs: 1 (f=1): [W(1)][0.3%][w=426MiB/s][w=3410 IOPS][eta 19m:22s]
Jobs: 1 (f=1): [W(1)][0.3%][w=434MiB/s][w=3470 IOPS][eta 19m:11s]Jobs: 1 (f=1): [W(1)][0.4%][w=434MiB/s][w=3471 IOPS][eta 19m:04s] 
Jobs: 1 (f=1): [W(1)][0.5%][w=429MiB/s][w=3434 IOPS][eta 19m:01s]Jobs: 1 (f=1): [W(1)][0.7%][w=430MiB/s][w=3436 IOPS][eta 18m:59s] 
Jobs: 1 (f=1): [W(1)][0.7%][w=435MiB/s][w=3482 IOPS][eta 18m:55s]Jobs: 1 (f=1): [W(1)][0.8%][w=436MiB/s][w=3489 IOPS][eta 18m:51s] 
Jobs: 1 (f=1): [W(1)][0.9%][w=427MiB/s][w=3413 IOPS][eta 18m:51s]Jobs: 1 (f=1): [W(1)][1.1%][w=435MiB/s][w=3483 IOPS][eta 18m:48s] 
Jobs: 1 (f=1): [W(1)][1.1%][w=436MiB/s][w=3484 IOPS][eta 18m:45s]Jobs: 1 (f=1): [W(1)][1.1%][w=430MiB/s][w=3437 IOPS][eta 18m:44s] 
Jobs: 1 (f=1): [W(1)][1.2%][w=435MiB/s][w=3476 IOPS][eta 18m:43s]Jobs: 1 (f=1): [W(1)][1.4%][w=437MiB/s][w=3493 IOPS][eta 18m:40s] 
Jobs: 1 (f=1): [W(1)][1.4%][w=434MiB/s][w=3472 IOPS][eta 18m:39s]Jobs: 1 (f=1): [W(1)][1.5%][w=432MiB/s][w=3452 IOPS][eta 18m:38s] 
Jobs: 1 (f=1): [W(1)][1.7%][w=436MiB/s][w=3490 IOPS][eta 18m:36s]Jobs: 1 (f=1): [W(1)][1.7%][w=440MiB/s][w=3516 IOPS][eta 18m:33s] 
Jobs: 1 (f=1): [W(1)][1.8%][w=430MiB/s][w=3437 IOPS][eta 18m:33s]Jobs: 1 (f=1): [W(1)][1.9%][w=437MiB/s][w=3494 IOPS][eta 18m:31s] 
Jobs: 1 (f=1): [W(1)][2.0%][w=436MiB/s][w=3490 IOPS][eta 18m:29s]Jobs: 1 (f=1): [W(1)][2.0%][w=430MiB/s][w=3443 IOPS][eta 18m:29s] 
Jobs: 1 (f=1): [W(1)][2.1%][w=433MiB/s][w=3466 IOPS][eta 18m:27s]Jobs: 1 (f=1): [W(1)][2.2%][w=438MiB/s][w=3507 IOPS][eta 18m:26s] 
Jobs: 1 (f=1): [W(1)][2.4%][w=435MiB/s][w=3480 IOPS][eta 18m:24s]Jobs: 1 (f=1): [W(1)][2.4%][w=431MiB/s][w=3447 IOPS][eta 18m:24s] 
Jobs: 1 (f=1): [W(1)][2.5%][w=439MiB/s][w=3512 IOPS][eta 18m:22s]Jobs: 1 (f=1): [W(1)][2.6%][w=442MiB/s][w=3537 IOPS][eta 18m:20s] 
Jobs: 1 (f=1): [W(1)][2.7%][w=431MiB/s][w=3447 IOPS][eta 18m:19s]Jobs: 1 (f=1): [W(1)][2.7%][w=439MiB/s][w=3508 IOPS][eta 18m:18s] 
Jobs: 1 (f=1): [W(1)][2.8%][w=441MiB/s][w=3530 IOPS][eta 18m:16s]Jobs: 1 (f=1): [W(1)][3.0%][w=431MiB/s][w=3450 IOPS][eta 18m:15s] 
Jobs: 1 (f=1): [W(1)][3.1%][w=439MiB/s][w=3515 IOPS][eta 18m:14s]Jobs: 1 (f=1): [W(1)][3.1%][w=441MiB/s][w=3530 IOPS][eta 18m:12s] 
