job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1)Jobs: 1 (f=1)Jobs: 1 (f=1): [R(1)][1.1%][r=3722MiB/s][r=29.8k IOPS][eta 04m:28s]
Jobs: 1 (f=1): [R(1)][1.5%][r=3711MiB/s][r=29.7k IOPS][eta 04m:25s]Jobs: 1 (f=1): [R(1)][1.9%][r=3700MiB/s][r=29.6k IOPS][eta 04m:23s] 
Jobs: 1 (f=1): [R(1)][2.6%][r=3700MiB/s][r=29.6k IOPS][eta 04m:21s]Jobs: 1 (f=1): [R(1)][2.6%][r=3699MiB/s][r=29.6k IOPS][eta 04m:20s] 
Jobs: 1 (f=1): [R(1)][3.4%][r=3700MiB/s][r=29.6k IOPS][eta 04m:18s]Jobs: 1 (f=1): [R(1)][3.4%][r=3699MiB/s][r=29.6k IOPS][eta 04m:17s] 
Jobs: 1 (f=1): [R(1)][4.1%][r=3699MiB/s][r=29.6k IOPS][eta 04m:16s]Jobs: 1 (f=1): [R(1)][4.1%][r=3700MiB/s][r=29.6k IOPS][eta 04m:15s] 
Jobs: 1 (f=1): [R(1)][4.9%][r=3699MiB/s][r=29.6k IOPS][eta 04m:13s]Jobs: 1 (f=1): [R(1)][4.9%][r=3698MiB/s][r=29.6k IOPS][eta 04m:12s] 
Jobs: 1 (f=1): [R(1)][5.6%][r=3699MiB/s][r=29.6k IOPS][eta 04m:11s]Jobs: 1 (f=1): [R(1)][5.7%][r=3701MiB/s][r=29.6k IOPS][eta 04m:10s] 
Jobs: 1 (f=1): [R(1)][6.4%][r=3699MiB/s][r=29.6k IOPS][eta 04m:09s]Jobs: 1 (f=1): [R(1)][6.4%][r=3700MiB/s][r=29.6k IOPS][eta 04m:08s] 
Jobs: 1 (f=1): [R(1)][6.8%][r=3699MiB/s][r=29.6k IOPS][eta 04m:07s]Jobs: 1 (f=1): [R(1)][7.2%][r=3700MiB/s][r=29.6k IOPS][eta 04m:06s] 
Jobs: 1 (f=1): [R(1)][7.5%][r=3698MiB/s][r=29.6k IOPS][eta 04m:05s]Jobs: 1 (f=1): [R(1)][7.9%][r=3702MiB/s][r=29.6k IOPS][eta 04m:04s] 
Jobs: 1 (f=1): [R(1)][8.3%][r=3699MiB/s][r=29.6k IOPS][eta 04m:03s]Jobs: 1 (f=1): [R(1)][8.7%][r=3699MiB/s][r=29.6k IOPS][eta 04m:02s] 
Jobs: 1 (f=1): [R(1)][9.1%][r=3701MiB/s][r=29.6k IOPS][eta 04m:01s]Jobs: 1 (f=1): [R(1)][9.4%][r=3696MiB/s][r=29.6k IOPS][eta 04m:00s] 
Jobs: 1 (f=1): [R(1)][9.8%][r=3700MiB/s][r=29.6k IOPS][eta 03m:59s]Jobs: 1 (f=1): [R(1)][10.2%][r=3699MiB/s][r=29.6k IOPS][eta 03m:57s]
Jobs: 1 (f=1): [R(1)][10.6%][r=3699MiB/s][r=29.6k IOPS][eta 03m:56s]Jobs: 1 (f=1): [R(1)][11.0%][r=3699MiB/s][r=29.6k IOPS][eta 03m:55s] 
Jobs: 1 (f=1): [R(1)][11.4%][r=3699MiB/s][r=29.6k IOPS][eta 03m:54s]Jobs: 1 (f=1): [R(1)][11.7%][r=3700MiB/s][r=29.6k IOPS][eta 03m:53s] 
Jobs: 1 (f=1): [R(1)][12.1%][r=3701MiB/s][r=29.6k IOPS][eta 03m:52s]Jobs: 1 (f=1): [R(1)][12.5%][r=3699MiB/s][r=29.6k IOPS][eta 03m:51s] 
