job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1)Jobs: 1 (f=1)Jobs: 1 (f=1): [R(1)][1.0%][r=3404MiB/s][r=27.2k IOPS][eta 04m:54s]
Jobs: 1 (f=1): [R(1)][1.4%][r=3403MiB/s][r=27.2k IOPS][eta 04m:50s]Jobs: 1 (f=1): [R(1)][1.7%][r=3390MiB/s][r=27.1k IOPS][eta 04m:48s] 
Jobs: 1 (f=1): [R(1)][2.4%][r=3399MiB/s][r=27.2k IOPS][eta 04m:46s]Jobs: 1 (f=1): [R(1)][2.4%][r=3391MiB/s][r=27.1k IOPS][eta 04m:44s] 
Jobs: 1 (f=1): [R(1)][2.7%][r=3398MiB/s][r=27.2k IOPS][eta 04m:43s]Jobs: 1 (f=1): [R(1)][3.1%][r=3397MiB/s][r=27.2k IOPS][eta 04m:41s] 
Jobs: 1 (f=1): [R(1)][3.8%][r=3393MiB/s][r=27.1k IOPS][eta 04m:40s]Jobs: 1 (f=1): [R(1)][3.8%][r=3399MiB/s][r=27.2k IOPS][eta 04m:39s] 
Jobs: 1 (f=1): [R(1)][4.5%][r=3404MiB/s][r=27.2k IOPS][eta 04m:38s]Jobs: 1 (f=1): [R(1)][4.5%][r=3389MiB/s][r=27.1k IOPS][eta 04m:36s] 
Jobs: 1 (f=1): [R(1)][5.2%][r=3404MiB/s][r=27.2k IOPS][eta 04m:35s]Jobs: 1 (f=1): [R(1)][5.2%][r=3406MiB/s][r=27.2k IOPS][eta 04m:34s] 
Jobs: 1 (f=1): [R(1)][5.9%][r=3385MiB/s][r=27.1k IOPS][eta 04m:33s]Jobs: 1 (f=1): [R(1)][5.9%][r=3400MiB/s][r=27.2k IOPS][eta 04m:32s] 
Jobs: 1 (f=1): [R(1)][6.6%][r=3396MiB/s][r=27.2k IOPS][eta 04m:31s]Jobs: 1 (f=1): [R(1)][6.6%][r=3375MiB/s][r=26.0k IOPS][eta 04m:30s] 
Jobs: 1 (f=1): [R(1)][6.9%][r=3406MiB/s][r=27.3k IOPS][eta 04m:29s]Jobs: 1 (f=1): [R(1)][7.3%][r=3401MiB/s][r=27.2k IOPS][eta 04m:28s] 
Jobs: 1 (f=1): [R(1)][7.6%][r=3399MiB/s][r=27.2k IOPS][eta 04m:27s]Jobs: 1 (f=1): [R(1)][8.0%][r=3400MiB/s][r=27.2k IOPS][eta 04m:25s] 
Jobs: 1 (f=1): [R(1)][8.7%][r=3400MiB/s][r=27.2k IOPS][eta 04m:24s]Jobs: 1 (f=1): [R(1)][8.7%][r=3390MiB/s][r=27.1k IOPS][eta 04m:23s] 
Jobs: 1 (f=1): [R(1)][9.0%][r=3403MiB/s][r=27.2k IOPS][eta 04m:22s]Jobs: 1 (f=1): [R(1)][9.4%][r=3390MiB/s][r=27.1k IOPS][eta 04m:21s] 
Jobs: 1 (f=1): [R(1)][9.7%][r=3415MiB/s][r=27.3k IOPS][eta 04m:20s]Jobs: 1 (f=1): [R(1)][10.1%][r=3414MiB/s][r=27.3k IOPS][eta 04m:19s]
Jobs: 1 (f=1): [R(1)][10.4%][r=3393MiB/s][r=27.1k IOPS][eta 04m:18s]Jobs: 1 (f=1): [R(1)][10.8%][r=3408MiB/s][r=27.3k IOPS][eta 04m:17s] 
Jobs: 1 (f=1): [R(1)][11.1%][r=3408MiB/s][r=27.3k IOPS][eta 04m:16s]Jobs: 1 (f=1): [R(1)][11.5%][r=3405MiB/s][r=27.2k IOPS][eta 04m:15s] 
Jobs: 1 (f=1): [R(1)][12.1%][r=3404MiB/s][r=27.2k IOPS][eta 04m:14s]Jobs: 1 (f=1): [R(1)][12.2%][r=3411MiB/s][r=27.3k IOPS][eta 04m:13s] 
Jobs: 1 (f=1): [R(1)][12.8%][r=3384MiB/s][r=27.1k IOPS][eta 04m:12s]Jobs: 1 (f=1): [R(1)][12.8%][r=3391MiB/s][r=27.1k IOPS][eta 04m:11s] 
Jobs: 1 (f=1): [R(1)][13.5%][r=3377MiB/s][r=27.0k IOPS][eta 04m:10s]Jobs: 1 (f=1): [R(1)][13.5%][r=3389MiB/s][r=27.1k IOPS][eta 04m:09s] 
Jobs: 1 (f=1): [R(1)][14.2%][r=3384MiB/s][r=27.1k IOPS][eta 04m:08s]Jobs: 1 (f=1): [R(1)][14.2%][r=3412MiB/s][r=27.3k IOPS][eta 04m:07s] 
Jobs: 1 (f=1): [R(1)][14.9%][r=3395MiB/s][r=27.2k IOPS][eta 04m:06s]Jobs: 1 (f=1): [R(1)][14.9%][r=3390MiB/s][r=27.1k IOPS][eta 04m:05s] 
