job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1)Jobs: 1 (f=1)Jobs: 1 (f=1): [W(1)][0.3%][w=857MiB/s][w=6857 IOPS][eta 19m:30s]
Jobs: 1 (f=1): [W(1)][0.3%][w=840MiB/s][w=6723 IOPS][eta 19m:27s]Jobs: 1 (f=1): [W(1)][0.4%][w=664MiB/s][w=5314 IOPS][eta 20m:15s] 
Jobs: 1 (f=1): [W(1)][0.4%][w=286MiB/s][w=2291 IOPS][eta 22m:41s]Jobs: 1 (f=1): [W(1)][0.5%][w=290MiB/s][w=2317 IOPS][eta 24m:47s] 
Jobs: 1 (f=1): [W(1)][0.5%][w=286MiB/s][w=2291 IOPS][eta 26m:39s]Jobs: 1 (f=1): [W(1)][0.5%][w=502MiB/s][w=4013 IOPS][eta 27m:10s] 
Jobs: 1 (f=1): [W(1)][0.6%][w=290MiB/s][w=2319 IOPS][eta 28m:37s]Jobs: 1 (f=1): [W(1)][0.7%][w=286MiB/s][w=2289 IOPS][eta 29m:58s] 
Jobs: 1 (f=1): [W(1)][0.6%][w=284MiB/s][w=2271 IOPS][eta 31m:11s]Jobs: 1 (f=1): [W(1)][0.7%][w=484MiB/s][w=3868 IOPS][eta 31m:20s] 
Jobs: 1 (f=1): [W(1)][0.7%][w=296MiB/s][w=2366 IOPS][eta 32m:19s]Jobs: 1 (f=1): [W(1)][0.8%][w=280MiB/s][w=2242 IOPS][eta 33m:17s] 
Jobs: 1 (f=1): [W(1)][0.8%][w=325MiB/s][w=2602 IOPS][eta 33m:58s]Jobs: 1 (f=1): [W(1)][0.8%][w=469MiB/s][w=3753 IOPS][eta 33m:59s] 
Jobs: 1 (f=1): [W(1)][0.9%][w=298MiB/s][w=2387 IOPS][eta 34m:41s]Jobs: 1 (f=1): [W(1)][0.9%][w=284MiB/s][w=2268 IOPS][eta 35m:24s] 
Jobs: 1 (f=1): [W(1)][0.9%][w=352MiB/s][w=2819 IOPS][eta 35m:48s]Jobs: 1 (f=1): [W(1)][1.0%][w=442MiB/s][w=3533 IOPS][eta 35m:49s] 
Jobs: 1 (f=1): [W(1)][1.0%][w=288MiB/s][w=2305 IOPS][eta 36m:24s]Jobs: 1 (f=1): [W(1)][1.1%][w=294MiB/s][w=2351 IOPS][eta 36m:56s] 
Jobs: 1 (f=1): [W(1)][1.1%][w=374MiB/s][w=2989 IOPS][eta 37m:08s]Jobs: 1 (f=1): [W(1)][1.1%][w=415MiB/s][w=3318 IOPS][eta 37m:11s] 
Jobs: 1 (f=1): [W(1)][1.1%][w=284MiB/s][w=2271 IOPS][eta 37m:41s]Jobs: 1 (f=1): [W(1)][1.2%][w=292MiB/s][w=2337 IOPS][eta 38m:07s] 
Jobs: 1 (f=1): [W(1)][1.2%][w=424MiB/s][w=3394 IOPS][eta 38m:05s]Jobs: 1 (f=1): [W(1)][1.2%][w=361MiB/s][w=2889 IOPS][eta 38m:16s] 
Jobs: 1 (f=1): [W(1)][1.3%][w=298MiB/s][w=2382 IOPS][eta 38m:38s]Jobs: 1 (f=1): [W(1)][1.3%][w=284MiB/s][w=2274 IOPS][eta 39m:01s] 
Jobs: 1 (f=1): [W(1)][1.4%][w=441MiB/s][w=3531 IOPS][eta 38m:55s]Jobs: 1 (f=1): [W(1)][1.4%][w=326MiB/s][w=2607 IOPS][eta 39m:09s] 
Jobs: 1 (f=1): [W(1)][1.5%][w=298MiB/s][w=2386 IOPS][eta 39m:27s]Jobs: 1 (f=1): [W(1)][1.5%][w=284MiB/s][w=2271 IOPS][eta 39m:47s] 
Jobs: 1 (f=1): [W(1)][1.5%][w=539MiB/s][w=4313 IOPS][eta 39m:24s]Jobs: 1 (f=1): [W(1)][1.6%][w=852MiB/s][w=6819 IOPS][eta 38m:14s] 
Jobs: 1 (f=1): [W(1)][1.7%][w=855MiB/s][w=6838 IOPS][eta 37m:11s]Jobs: 1 (f=1): [W(1)][1.8%][w=846MiB/s][w=6771 IOPS][eta 36m:15s] 
Jobs: 1 (f=1): [W(1)][1.8%][w=850MiB/s][w=6800 IOPS][eta 35m:24s]Jobs: 1 (f=1): [W(1)][1.9%][w=856MiB/s][w=6851 IOPS][eta 34m:37s] 
Jobs: 1 (f=1): [W(1)][2.1%][w=864MiB/s][w=6911 IOPS][eta 33m:53s]Jobs: 1 (f=1): [W(1)][2.1%][w=839MiB/s][w=6715 IOPS][eta 33m:15s] 
Jobs: 1 (f=1): [W(1)][2.2%][w=854MiB/s][w=6829 IOPS][eta 32m:38s]Jobs: 1 (f=1): [W(1)][2.3%][w=851MiB/s][w=6811 IOPS][eta 32m:04s] 
Jobs: 1 (f=1): [W(1)][2.4%][w=859MiB/s][w=6874 IOPS][eta 31m:33s]Jobs: 1 (f=1): [W(1)][2.5%][w=848MiB/s][w=6787 IOPS][eta 31m:04s] 
Jobs: 1 (f=1): [W(1)][2.5%][w=859MiB/s][w=6872 IOPS][eta 30m:36s]Jobs: 1 (f=1): [W(1)][2.7%][w=856MiB/s][w=6849 IOPS][eta 30m:10s] 
Jobs: 1 (f=1): [W(1)][2.8%][w=845MiB/s][w=6757 IOPS][eta 29m:47s]Jobs: 1 (f=1): [W(1)][2.8%][w=852MiB/s][w=6814 IOPS][eta 29m:25s] 
Jobs: 1 (f=1): [W(1)][2.9%][w=854MiB/s][w=6829 IOPS][eta 29m:03s]Jobs: 1 (f=1): [W(1)][3.0%][w=864MiB/s][w=6910 IOPS][eta 28m:43s] 
Jobs: 1 (f=1): [W(1)][3.1%][w=843MiB/s][w=6740 IOPS][eta 28m:24s]Jobs: 1 (f=1): [W(1)][3.2%][w=855MiB/s][w=6837 IOPS][eta 28m:06s] 
Jobs: 1 (f=1): [W(1)][3.3%][w=859MiB/s][w=6873 IOPS][eta 27m:49s]Jobs: 1 (f=1): [W(1)][3.4%][w=856MiB/s][w=6851 IOPS][eta 27m:33s] 
Jobs: 1 (f=1): [W(1)][3.4%][w=843MiB/s][w=6744 IOPS][eta 27m:18s]Jobs: 1 (f=1): [W(1)][3.5%][w=856MiB/s][w=6850 IOPS][eta 27m:03s] 
Jobs: 1 (f=1): [W(1)][3.7%][w=861MiB/s][w=6890 IOPS][eta 26m:49s]Jobs: 1 (f=1): [W(1)][3.7%][w=845MiB/s][w=6759 IOPS][eta 26m:36s] 
Jobs: 1 (f=1): [W(1)][3.8%][w=859MiB/s][w=6872 IOPS][eta 26m:22s]Jobs: 1 (f=1): [W(1)][3.9%][w=858MiB/s][w=6864 IOPS][eta 26m:10s] 
Jobs: 1 (f=1): [W(1)][4.0%][w=859MiB/s][w=6874 IOPS][eta 25m:58s]Jobs: 1 (f=1): [W(1)][4.1%][w=847MiB/s][w=6774 IOPS][eta 25m:47s] 
Jobs: 1 (f=1): [W(1)][4.1%][w=863MiB/s][w=6906 IOPS][eta 25m:35s]Jobs: 1 (f=1): [W(1)][4.3%][w=863MiB/s][w=6903 IOPS][eta 25m:25s] 
Jobs: 1 (f=1): [W(1)][4.4%][w=849MiB/s][w=6791 IOPS][eta 25m:15s]Jobs: 1 (f=1): [W(1)][4.4%][w=861MiB/s][w=6891 IOPS][eta 25m:05s] 
Jobs: 1 (f=1): [W(1)][4.5%][w=861MiB/s][w=6886 IOPS][eta 24m:55s]Jobs: 1 (f=1): [W(1)][4.6%][w=860MiB/s][w=6883 IOPS][eta 24m:46s] 
Jobs: 1 (f=1): [W(1)][4.7%][w=850MiB/s][w=6798 IOPS][eta 24m:37s]Jobs: 1 (f=1): [W(1)][4.8%][w=861MiB/s][w=6891 IOPS][eta 24m:28s] 
Jobs: 1 (f=1): [W(1)][4.8%][w=702MiB/s][w=5618 IOPS][eta 24m:25s]Jobs: 1 (f=1): [W(1)][5.0%][w=863MiB/s][w=6904 IOPS][eta 24m:17s] 
Jobs: 1 (f=1): [W(1)][5.0%][w=854MiB/s][w=6832 IOPS][eta 24m:09s]Jobs: 1 (f=1): [W(1)][5.1%][w=860MiB/s][w=6881 IOPS][eta 24m:01s] 
Jobs: 1 (f=1): [W(1)][5.2%][w=866MiB/s][w=6925 IOPS][eta 23m:54s]Jobs: 1 (f=1): [W(1)][5.3%][w=867MiB/s][w=6932 IOPS][eta 23m:46s] 
